reg,Code région,Région,pop
84,REG-84,Auvergne-Rhône-Alpes,7994459
27,REG-27,Bourgogne-Franche-Comté,2807807
53,REG-53,Bretagne,3335414
24,REG-24,Centre-Val de Loire,2572853
94,REG-94,Corse,338554
44,REG-44,Grand Est,5550389
01,REG-01,Guadeloupe,387629
03,REG-03,Guyane,276128
32,REG-32,Hauts-de-France,6004108
11,REG-11,Île-de-France,12213447
04,REG-04,La Réunion,855961
02,REG-02,Martinique,368783
28,REG-28,Normandie,3327477
75,REG-75,Nouvelle-Aquitaine,5979778
76,REG-76,Occitanie,5885496
52,REG-52,Pays de la Loire,3781423
93,REG-93,Provence-Alpes-Côte d'Azur,5052832
