Date,Personnes de retour à domicile (cumul),Personnes décédées (cumul)
2020-03-18,20,6
2020-03-19,50,14
2020-03-20,68,22
2020-03-21,88,27
2020-03-22,165,40
2020-03-23,198,62
2020-03-24,285,85
2020-03-25,348,102
2020-03-26,402,123
2020-03-27,432,139
2020-03-28,493,148
2020-03-29,549,164
2020-03-30,604,187
2020-03-31,675,214
2020-04-01,642,230
2020-04-02,746,271
2020-04-03,835,303
2020-04-04,910,323
2020-04-05,942,341
2020-04-06,986,367
2020-04-07,1077,396
2020-04-08,1160,412
2020-04-09,1237,427
2020-04-10,1309,459
2020-04-11,1411,478
2020-04-12,1441,500
2020-04-13,1463,512
2020-04-14,1488,551
2020-04-15,1594,581
2020-04-16,1659,607
2020-04-17,1728,623
2020-04-18,1788,644
2020-04-19,1839,657
2020-04-20,1864,677
2020-04-21,1941,705
2020-04-22,2018,721
2020-04-23,2088,753
2020-04-24,2175,770
2020-04-25,2227,786
2020-04-26,2237,797
2020-04-27,2269,814
2020-04-28,2306,819
2020-04-29,2375,832
2020-04-30,2431,838
2020-05-01,2484,843
2020-05-02,2492,850
2020-05-03,2495,856
2020-05-04,2512,869
2020-05-05,2582,884
2020-05-06,2618,896
2020-05-07,2702,906
2020-05-08,2764,914
2020-05-09,2783,921
2020-05-10,2786,926
2020-05-11,2804,939
2020-05-12,2847,947
2020-05-13,2887,953
2020-05-14,2915,956
2020-05-15,2955,958
2020-05-16,2975,959
2020-05-17,2977,959
2020-05-18,2999,969
2020-05-19,3039,978
2020-05-20,3086,980
2020-05-21,3141,983
2020-05-22,3164,988
2020-05-23,3176,988
2020-05-24,3180,990
2020-05-25,3226,994
2020-05-26,3343,997
2020-05-27,3400,1001
2020-05-28,3423,1004
2020-05-29,3473,1008
2020-05-30,3481,1009
2020-05-31,3487,1010
2020-06-01,3490,1011
2020-06-02,3518,1013
2020-06-03,3558,1017
2020-06-04,3581,1022
2020-06-05,3591,1022
2020-06-06,3597,1022
2020-06-07,3597,1022
2020-06-08,3607,1023
2020-06-09,3640,1027
2020-06-10,3665,1031
2020-06-11,3673,1031
2020-06-12,3728,1030
2020-06-13,3734,1032
2020-06-14,3739,1032
2020-06-15,3741,1032
2020-06-16,3755,1032
2020-06-17,3766,1033
2020-06-18,3770,1034
2020-06-19,3795,1034
2020-06-20,3795,1034
2020-06-21,3795,1034
2020-06-22,3802,1035
2020-06-23,3810,1035
2020-06-24,3816,1036
2020-06-25,3820,1037
2020-06-26,3821,1037
2020-06-27,3823,1037
2020-06-28,3824,1037
2020-06-29,3828,1038
2020-06-30,3845,1038
2020-07-01,3860,1041
2020-07-02,3872,1042
2020-07-03,3885,1042
